source_document,page,feature,normalized_feature
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,4,AXISOSSoftwareBillofMaterial(SBOM) Optional accessories,axisossoftwarebillofmaterial(sbom) optional accessories
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,4,"Todownloaddocuments,gotoaxis.com/support/ Lenses","todownloaddocuments,gotoaxis.com/support/ lenses"
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,4,"cybersecurity/resources LensM122.1mm,F2.2:horizontalfieldofview145°","cybersecurity/resources lensm122.1mm,f2.2:horizontalfieldofview145°"
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,4,"ToreadmoreaboutAxiscybersecuritysupport,goto LensM122.8mm,F1.2:horizontalfieldofview107°","toreadmoreaboutaxiscybersecuritysupport,goto lensm122.8mm,f1.2:horizontalfieldofview107°"
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,4,"axis.com/cybersecurity LensM123.6mm,F2.0:horizontalfieldofview88°","axis.com/cybersecurity lensm123.6mm,f2.0:horizontalfieldofview88°"
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,4,"LensM126mm,F1.6:horizontalfieldofview51°","lensm126mm,f1.6:horizontalfieldofview51°"
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,4,"General LensM128mm,F1.6:horizontalfieldofview39°","general lensm128mm,f1.6:horizontalfieldofview39°"
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,4,Other,other
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,4,"AXIST94D01SMountBracket,","axist94d01smountbracket,"
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,4,"Casing AXIST94D02SCurvedMountBracket,","casing axist94d02scurvedmountbracket,"
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,4,"IP66/67-andIK10-ratedaluminumandpolycarbonate NetworkcouplerIP66,Networkcablecouplerindoor,","ip66/67-andik10-ratedaluminumandpolycarbonate networkcouplerip66,networkcablecouplerindoor,"
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,4,"casing TM3101PendantWallMount,AXISTP3826-Ehousing,","casing tm3101pendantwallmount,axistp3826-ehousing,"
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,4,"TP3827ClearDomeCover,TP3830TopBlackCover","tp3827cleardomecover,tp3830topblackcover"
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,4,"Formoreaccessories,seeaxis.com/products/axis-","formoreaccessories,seeaxis.com/products/axis-"
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,4,Mounting,mounting
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,4,m3905-r#accessories,m3905-r#accessories
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,4,Insidevehicles,insidevehicles
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,4,"4. ThisproductincludessoftwaredevelopedbytheOpenSSLProjectforuseintheOpenSSLToolkit.(openssl.org),andcryptographicsoftware","4. thisproductincludessoftwaredevelopedbytheopensslprojectforuseintheopenssltoolkit.(openssl.org),andcryptographicsoftware"
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,4,writtenbyEricYoung(eay@cryptsoft.com).,writtenbyericyoung(eay@cryptsoft.com).
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,5,System tools,system tools
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,5,"AXISSiteDesigner,AXISDeviceManager,product","axissitedesigner,axisdevicemanager,product"
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,5,"selector,accessoryselector,lenscalculator","selector,accessoryselector,lenscalculator"
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,5,Availableataxis.com,availableataxis.com
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,5,Languages,languages
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,5,"English,German,French,Spanish,Italian,Russian,","english,german,french,spanish,italian,russian,"
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,5,"SimplifiedChinese,Japanese,Korean,Portuguese,","simplifiedchinese,japanese,korean,portuguese,"
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,5,"Polish,TraditionalChinese,Dutch,Czech,Swedish,","polish,traditionalchinese,dutch,czech,swedish,"
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,5,"Finnish,Turkish,Thai,Vietnamese","finnish,turkish,thai,vietnamese"
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,5,Warranty,warranty
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,5,"5-yearwarranty,seeaxis.com/warranty","5-yearwarranty,seeaxis.com/warranty"
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,5,Partnumbers,partnumbers
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,5,Availableataxis.com/products/axis-m3905-r#part-,availableataxis.com/products/axis-m3905-r#part-
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,5,numbers,numbers
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,5,Sustainability,sustainability
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,5,Substancecontrol,substancecontrol
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,5,"PVCfree,BFR/CFRfree","pvcfree,bfr/cfrfree"
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,5,RoHSinaccordancewithEURoHSDirective2011/65/,rohsinaccordancewitheurohsdirective2011/65/
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,5,EU/andEN63000:2018,eu/anden63000:2018
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,5,REACHinaccordancewith(EC)No1907/2006.ForSCIP,reachinaccordancewith(ec)no1907/2006.forscip
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,5,"UUID,seeaxis.com/partner.","uuid,seeaxis.com/partner."
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,5,Materials,materials
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,5,Recycledaluminum:95%,recycledaluminum:95%
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,5,ScreenedforconflictmineralsinaccordancewithOECD,screenedforconflictmineralsinaccordancewithoecd
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,5,guidelines,guidelines
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,5,"ToreadmoreaboutsustainabilityatAxis,gotoaxis.","toreadmoreaboutsustainabilityataxis,gotoaxis."
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,5,com/about-axis/sustainability,com/about-axis/sustainability
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,5,Environmentalresponsibility,environmentalresponsibility
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,5,axis.com/environmental-responsibility,axis.com/environmental-responsibility
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,5,AxisCommunicationsisasignatoryoftheUNGlobal,axiscommunicationsisasignatoryoftheunglobal
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,5,"Compact,readmoreatunglobalcompact.org","compact,readmoreatunglobalcompact.org"
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,6,"Detect,Observe,Recognize, Identify(DORI)","detect,observe,recognize, identify(dori)"
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,6,3.6mmlens DORIdefinition Distance,3.6mmlens doridefinition distance
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,6,Detect 25px/m(8px/ft) 50.6m(166.0ft),detect 25px/m(8px/ft) 50.6m(166.0ft)
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,6,Observe 63px/m(19px/ft) 20.1m(65.9ft),observe 63px/m(19px/ft) 20.1m(65.9ft)
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,6,Recognize 125px/m(38px/ft) 10.1m(33.1ft),recognize 125px/m(38px/ft) 10.1m(33.1ft)
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,6,Identify 250px/m(76px/ft) 5.1m(16.7ft),identify 250px/m(76px/ft) 5.1m(16.7ft)
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,6,2.8mmlens DORIdefinition Distance,2.8mmlens doridefinition distance
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,6,Detect 25px/m(8px/ft) 21.1m(69.2ft),detect 25px/m(8px/ft) 21.1m(69.2ft)
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,6,Observe 63px/m(19px/ft) 7.4m(24.3ft),observe 63px/m(19px/ft) 7.4m(24.3ft)
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,6,Recognize 125px/m(38px/ft) 4.2m(13.8ft),recognize 125px/m(38px/ft) 4.2m(13.8ft)
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,6,Identify 250px/m(76px/ft) 2.1m(6.9ft),identify 250px/m(76px/ft) 2.1m(6.9ft)
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,6,Axis calculates the DORI values using pixel densities for,axis calculates the dori values using pixel densities for
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,6,different use cases as recommended by the EN-62676-4,different use cases as recommended by the en-62676-4
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,6,standard. The calculations use the center of the image as,standard. the calculations use the center of the image as
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,6,the reference point and consider lens distortion. The,the reference point and consider lens distortion. the
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,6,possibility to recognize or identify a person or object,possibility to recognize or identify a person or object
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,6,"depends on factors such as object motion, video","depends on factors such as object motion, video"
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,6,"compression, lighting conditions, and camera focus. Use","compression, lighting conditions, and camera focus. use"
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,6,margins when planning. The pixel density varies across,margins when planning. the pixel density varies across
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,6,"the image, and the calculated values can differ from the","the image, and the calculated values can differ from the"
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,6,distancesintherealworld.,distancesintherealworld.
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,10,www.axis.com T10184436/EN/M22.2/202511,www.axis.com t10184436/en/m22.2/202511
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,10,Highlightedcapabilities,highlightedcapabilities
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,10,"Axis EdgeVault color may be the critical factor to identify a person, an","axis edgevault color may be the critical factor to identify a person, an"
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,10,"object,oravehicle.","object,oravehicle."
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,10,Axis Edge Vault is the hardware-based cybersecurity,axis edge vault is the hardware-based cybersecurity
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,10,platform that safeguards the Axis device. It forms the,platform that safeguards the axis device. it forms the
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,10,"Formoreinformation,seeaxis.com/glossary","formoreinformation,seeaxis.com/glossary"
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,10,foundation that all secure operations depend on and,foundation that all secure operations depend on and
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,10,"offer features to protect the device’s identity, safeguard","offer features to protect the device’s identity, safeguard"
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,10,its integrity and protect sensitive information from,its integrity and protect sensitive information from
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,10,"unauthorized access. For instance, secure boot ensures","unauthorized access. for instance, secure boot ensures"
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,10,"that a device can boot only with signed OS, which","that a device can boot only with signed os, which"
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,10,prevents physical supply chain tampering. With signed,prevents physical supply chain tampering. with signed
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,10,"OS, the device is also able to validate new device","os, the device is also able to validate new device"
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,10,software before accepting to install it. And the secure,software before accepting to install it. and the secure
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,10,keystore is the critical building-block for protecting,keystore is the critical building-block for protecting
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,10,cryptographic information used for secure,cryptographic information used for secure
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,10,"communication (IEEE 802.1X, HTTPS, Axis device ID,","communication (ieee 802.1x, https, axis device id,"
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,10,access control keys etc.) against malicious extraction in,access control keys etc.) against malicious extraction in
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,10,the event of a security breach. The secure keystore and,the event of a security breach. the secure keystore and
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,10,secure connections are provided through a Common,secure connections are provided through a common
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,10,Criteria or FIPS 140 certified hardware-based,criteria or fips 140 certified hardware-based
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,10,cryptographiccomputingmodule.,cryptographiccomputingmodule.
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,10,"Furthermore, signed video ensures that video evidence","furthermore, signed video ensures that video evidence"
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,10,can be verified as untampered. Each camera uses its,can be verified as untampered. each camera uses its
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,10,"unique video signing key, which is securely stored in the","unique video signing key, which is securely stored in the"
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,10,"secure keystore, to add a signature into the video stream","secure keystore, to add a signature into the video stream"
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,10,allowingvideotobetracedbacktotheAxiscamerafrom,allowingvideotobetracedbacktotheaxiscamerafrom
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,10,whereitoriginated.,whereitoriginated.
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,10,"To read more about Axis Edge Vault, go to axis.com/","to read more about axis edge vault, go to axis.com/"
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,10,solutions/edge-vault.,solutions/edge-vault.
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,10,Zipstream,zipstream
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,10,The Axis Zipstream technology preserves all the,the axis zipstream technology preserves all the
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,10,important forensic in the video stream while lowering,important forensic in the video stream while lowering
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,10,bandwidth and storage requirements by an average of,bandwidth and storage requirements by an average of
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,10,50%. Zipstream also includes three intelligent,50%. zipstream also includes three intelligent
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,10,"algorithms, which ensure that relevant forensic","algorithms, which ensure that relevant forensic"
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,10,"information is identified, recorded, and sent in full","information is identified, recorded, and sent in full"
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,10,resolutionandframerate.,resolutionandframerate.
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,10,ForensicWDR,forensicwdr
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,10,Axis cameras with wide dynamic range (WDR),axis cameras with wide dynamic range (wdr)
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,10,technology make the difference between seeing,technology make the difference between seeing
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,10,important forensic details clearly and seeing nothing but,important forensic details clearly and seeing nothing but
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,10,a blur in challenging light conditions. The difference,a blur in challenging light conditions. the difference
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,10,between the darkest and the brightest spots can spell,between the darkest and the brightest spots can spell
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,10,trouble for image usability and clarity. Forensic WDR,trouble for image usability and clarity. forensic wdr
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,10,effectively reduces visible noise and artifacts to deliver,effectively reduces visible noise and artifacts to deliver
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,10,videotunedformaximalforensicusability.,videotunedformaximalforensicusability.
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,10,Lightfinder,lightfinder
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,10,"The Axis Lightfinder technology delivers high-resolution,","the axis lightfinder technology delivers high-resolution,"
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,10,full-color video with a minimum of motion blur even in,full-color video with a minimum of motion blur even in
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,10,"near darkness. Because it strips away noise, Lightfinder","near darkness. because it strips away noise, lightfinder"
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,10,makes dark areas in a scene visible and captures details,makes dark areas in a scene visible and captures details
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,10,in very low light. Cameras with Lightfinder discern color,in very low light. cameras with lightfinder discern color
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,10,"in low light better than the human eye. In surveillance,","in low light better than the human eye. in surveillance,"
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,10,"©2022–2025AxisCommunicationsAB.AXISCOMMUNICATIONS,AXIS,ARTPECandVAPIXareregisteredtrademarksof","©2022–2025axiscommunicationsab.axiscommunications,axis,artpecandvapixareregisteredtrademarksof"
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,10,AxisABinvariousjurisdictions.Allothertrademarksarethepropertyoftheirrespectiveowners.Wereservetherightto,axisabinvariousjurisdictions.allothertrademarksarethepropertyoftheirrespectiveowners.wereservetherightto
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,10,introducemodificationswithoutnotice.,introducemodificationswithoutnotice.
